Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [0.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/1_naislstm_GELU
No model checkpoint file found in saved_models/1_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/1_naislstm_GELU
Training started at 2025-07-01 23:06:26
Logging training to saved_models/1_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
     700 |   4.41e+05 |   5.19e+03 |   6.97e+06 |   2.47e+04 |   7.17e+05 |    8.36e+03 |    1.78e+05 |    6.05e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   119.75 |  4099m 00s | Model saved (best)  
     750 |   4.33e+05 |   4.99e+03 |   6.81e+06 |   2.51e+04 |   6.96e+05 |    8.09e+03 |    1.56e+05 |    5.92e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   120.28 |  4089m 06s | Model saved (best)  
     800 |   4.20e+05 |   4.63e+03 |   6.45e+06 |   2.51e+04 |   6.61e+05 |    7.75e+03 |    1.48e+05 |    5.61e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   111.58 |  4062m 12s | Model saved (best)  
     850 |   4.22e+05 |   4.63e+03 |   6.45e+06 |   2.57e+04 |   6.49e+05 |    7.61e+03 |    1.40e+05 |    5.62e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   103.15 |  4021m 51s | Model saved         
     900 |   4.16e+05 |   4.35e+03 |   6.15e+06 |   2.54e+04 |   6.24e+05 |    7.37e+03 |    1.30e+05 |    5.37e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |    95.11 |  3971m 03s | Model saved (best)  
     950 |   4.04e+05 |   4.22e+03 |   6.05e+06 |   2.56e+04 |   6.05e+05 |    7.15e+03 |    1.25e+05 |    5.29e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   101.93 |  3937m 17s | Model saved (best)  
    1000 |   3.93e+05 |   3.92e+03 |   5.76e+06 |   2.48e+04 |   5.85e+05 |    6.97e+03 |    1.13e+05 |    5.03e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   110.48 |  3920m 49s | Model saved (best)  
    1050 |   4.00e+05 |   4.06e+03 |   5.89e+06 |   2.68e+04 |   5.88e+05 |    6.96e+03 |    1.13e+05 |    5.16e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   119.58 |  3920m 02s | Model saved         
    1100 |   3.94e+05 |   3.86e+03 |   5.68e+06 |   2.66e+04 |   5.71e+05 |    6.79e+03 |    1.08e+05 |    4.97e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    92.11 |  3878m 00s | Model saved (best)  
    1150 |   3.89e+05 |   3.82e+03 |   5.68e+06 |   2.69e+04 |   5.64e+05 |    6.70e+03 |    1.05e+05 |    4.97e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   124.82 |  3886m 19s | Model saved         
    1200 |   3.87e+05 |   3.69e+03 |   5.52e+06 |   2.67e+04 |   5.50e+05 |    6.57e+03 |    1.03e+05 |    4.83e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    93.29 |  3850m 32s | Model saved (best)  
    1250 |   3.71e+05 |   3.46e+03 |   5.37e+06 |   2.61e+04 |   5.36e+05 |    6.40e+03 |    1.00e+05 |    4.70e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   102.95 |  3830m 11s | Model saved (best)  
    1300 |   3.69e+05 |   3.32e+03 |   5.22e+06 |   2.62e+04 |   5.22e+05 |    6.26e+03 |    1.00e+05 |    4.57e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    94.23 |  3800m 15s | Model saved (best)  
    1350 |   3.86e+05 |   3.63e+03 |   5.49e+06 |   2.79e+04 |   5.34e+05 |    6.37e+03 |    1.07e+05 |    4.81e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   107.61 |  3788m 42s | Model saved         
    1400 |   3.62e+05 |   3.19e+03 |   5.10e+06 |   2.65e+04 |   5.08e+05 |    6.11e+03 |    9.86e+04 |    4.46e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    98.30 |  3766m 55s | Model saved (best)  
    1450 |   3.92e+05 |   3.75e+03 |   5.57e+06 |   2.81e+04 |   5.35e+05 |    6.39e+03 |    1.09e+05 |    4.89e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   121.42 |  3772m 44s | Model saved         
    1500 |   3.63e+05 |   3.19e+03 |   5.10e+06 |   2.67e+04 |   4.99e+05 |    6.02e+03 |    9.76e+04 |    4.47e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   109.36 |  3764m 49s | Model saved         
    1550 |   3.65e+05 |   3.25e+03 |   5.16e+06 |   2.74e+04 |   4.99e+05 |    6.01e+03 |    9.78e+04 |    4.53e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   126.99 |  3775m 57s | Model saved         
    1600 |   3.54e+05 |   3.00e+03 |   4.93e+06 |   2.70e+04 |   4.82e+05 |    5.84e+03 |    9.28e+04 |    4.32e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   100.61 |  3759m 13s | Model saved (best)  
    1650 |   3.58e+05 |   3.13e+03 |   5.05e+06 |   2.78e+04 |   4.85e+05 |    5.87e+03 |    9.56e+04 |    4.44e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   112.86 |  3755m 34s | Model saved         
    1700 |   3.60e+05 |   3.12e+03 |   5.01e+06 |   2.85e+04 |   4.78e+05 |    5.81e+03 |    9.51e+04 |    4.40e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    92.58 |  3732m 28s | Model saved         
    1750 |   3.53e+05 |   3.02e+03 |   4.96e+06 |   2.81e+04 |   4.74e+05 |    5.74e+03 |    9.35e+04 |    4.36e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   103.43 |  3720m 46s | Model saved         
    1800 |   3.45e+05 |   2.83e+03 |   4.78e+06 |   2.79e+04 |   4.61e+05 |    5.61e+03 |    8.89e+04 |    4.20e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    91.76 |  3699m 00s | Model saved (best)  
    1850 |   3.61e+05 |   3.16e+03 |   5.06e+06 |   2.92e+04 |   4.73e+05 |    5.75e+03 |    9.68e+04 |    4.45e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   138.35 |  3719m 32s | Model saved         
    1900 |   3.40e+05 |   2.75e+03 |   4.71e+06 |   2.76e+04 |   4.51e+05 |    5.52e+03 |    8.77e+04 |    4.14e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |    92.14 |  3699m 06s | Model saved (best)  
    1950 |   3.44e+05 |   2.87e+03 |   4.82e+06 |   2.83e+04 |   4.51e+05 |    5.53e+03 |    9.06e+04 |    4.25e+02 |   1.00e-02 |   4.75e-01 |     76581.70 |   101.93 |  3687m 50s | Model saved         
    2000 |   3.34e+05 |   2.66e+03 |   4.63e+06 |   2.76e+04 |   4.39e+05 |    5.40e+03 |    8.72e+04 |    4.07e+02 |   1.00e-02 |   4.51e-01 |     76581.70 |   128.82 |  3699m 00s | Model saved (best)  
    2050 |   3.39e+05 |   2.80e+03 |   4.76e+06 |   2.89e+04 |   4.40e+05 |    5.43e+03 |    9.06e+04 |    4.19e+02 |   1.00e-02 |   4.51e-01 |     76581.70 |   103.21 |  3689m 08s | Model saved         
    2100 |   3.33e+05 |   2.67e+03 |   4.62e+06 |   2.88e+04 |   4.29e+05 |    5.32e+03 |    8.86e+04 |    4.07e+02 |   1.00e-02 |   4.51e-01 |     76581.70 |    92.20 |  3671m 06s | Model saved (best)  
    2150 |   3.38e+05 |   2.81e+03 |   4.76e+06 |   2.92e+04 |   4.33e+05 |    5.37e+03 |    9.16e+04 |    4.20e+02 |   1.00e-02 |   4.51e-01 |     76581.70 |   102.23 |  3661m 26s | Model saved         
    2200 |   3.32e+05 |   2.67e+03 |   4.61e+06 |   2.91e+04 |   4.22e+05 |    5.25e+03 |    8.85e+04 |    4.07e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    92.81 |  3645m 09s | Model saved (best)  
    2250 |   3.33e+05 |   2.75e+03 |   4.70e+06 |   2.92e+04 |   4.23e+05 |    5.27e+03 |    9.11e+04 |    4.15e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   102.22 |  3636m 20s | Model saved         
    2300 |   3.21e+05 |   2.50e+03 |   4.48e+06 |   2.85e+04 |   4.07e+05 |    5.11e+03 |    8.61e+04 |    3.95e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    92.66 |  3621m 04s | Model saved (best)  
    2350 |   3.21e+05 |   2.54e+03 |   4.54e+06 |   2.83e+04 |   4.06e+05 |    5.12e+03 |    8.73e+04 |    4.01e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   103.07 |  3613m 36s | Model saved         
    2400 |   3.16e+05 |   2.45e+03 |   4.43e+06 |   2.85e+04 |   3.96e+05 |    5.01e+03 |    8.64e+04 |    3.91e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    92.27 |  3599m 02s | Model saved (best)  
    2450 |   3.29e+05 |   2.74e+03 |   4.66e+06 |   2.97e+04 |   4.05e+05 |    5.12e+03 |    9.07e+04 |    4.13e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   103.13 |  3592m 13s | Model saved         
    2500 |   3.14e+05 |   2.42e+03 |   4.40e+06 |   2.87e+04 |   3.88e+05 |    4.94e+03 |    8.56e+04 |    3.89e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    92.75 |  3578m 52s | Model saved (best)  
    2550 |   3.14e+05 |   2.47e+03 |   4.46e+06 |   2.87e+04 |   3.87e+05 |    4.94e+03 |    8.60e+04 |    3.95e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   102.72 |  3572m 19s | Model saved         
    2600 |   3.07e+05 |   2.34e+03 |   4.32e+06 |   2.84e+04 |   3.76e+05 |    4.83e+03 |    8.47e+04 |    3.83e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    93.08 |  3559m 56s | Model saved (best)  
    2650 |   3.03e+05 |   2.31e+03 |   4.33e+06 |   2.80e+04 |   3.71e+05 |    4.80e+03 |    8.44e+04 |    3.85e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   100.36 |  3552m 25s | Model saved         
    2700 |   3.16e+05 |   2.52e+03 |   4.45e+06 |   2.98e+04 |   3.75e+05 |    4.83e+03 |    8.86e+04 |    3.95e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    90.52 |  3539m 12s | Model saved         
    2750 |   3.01e+05 |   2.31e+03 |   4.32e+06 |   2.81e+04 |   3.63e+05 |    4.74e+03 |    8.46e+04 |    3.84e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    99.79 |  3531m 53s | Model saved         
    2800 |   3.10e+05 |   2.45e+03 |   4.39e+06 |   2.99e+04 |   3.63e+05 |    4.72e+03 |    8.79e+04 |    3.91e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    90.37 |  3519m 19s | Model saved         
    2850 |   2.98e+05 |   2.28e+03 |   4.28e+06 |   2.85e+04 |   3.52e+05 |    4.66e+03 |    8.41e+04 |    3.81e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |    99.93 |  3512m 34s | Model saved (best)  
    2900 |   2.98e+05 |   2.26e+03 |   4.23e+06 |   2.87e+04 |   3.47e+05 |    4.58e+03 |    8.45e+04 |    3.77e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   111.00 |  3512m 11s | Model saved (best)  
    2950 |   2.96e+05 |   2.26e+03 |   4.26e+06 |   2.87e+04 |   3.43e+05 |    4.56e+03 |    8.33e+04 |    3.80e+02 |   9.50e-03 |   4.51e-01 |     76581.70 |   115.96 |  3514m 27s | Model saved         
    3000 |   2.93e+05 |   2.21e+03 |   4.19e+06 |   2.90e+04 |   3.36e+05 |    4.49e+03 |    8.30e+04 |    3.73e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    90.47 |  3502m 51s | Model saved (best)  
    3050 |   2.92e+05 |   2.21e+03 |   4.22e+06 |   2.98e+04 |   3.32e+05 |    4.46e+03 |    8.42e+04 |    3.77e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |   101.36 |  3497m 21s | Model saved         
    3100 |   2.94e+05 |   2.27e+03 |   4.23e+06 |   3.03e+04 |   3.31e+05 |    4.44e+03 |    8.58e+04 |    3.77e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    89.71 |  3485m 54s | Model saved         
    3150 |   2.97e+05 |   2.32e+03 |   4.29e+06 |   3.08e+04 |   3.29e+05 |    4.46e+03 |    8.54e+04 |    3.84e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.02 |  3479m 33s | Model saved         
    3200 |   2.83e+05 |   2.11e+03 |   4.10e+06 |   2.99e+04 |   3.17e+05 |    4.32e+03 |    8.11e+04 |    3.67e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    89.81 |  3468m 41s | Model saved (best)  
    3250 |   2.81e+05 |   2.05e+03 |   4.09e+06 |   2.97e+04 |   3.10e+05 |    4.27e+03 |    8.08e+04 |    3.67e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.11 |  3462m 44s | Model saved (best)  
    3300 |   2.79e+05 |   2.06e+03 |   4.05e+06 |   3.00e+04 |   3.06e+05 |    4.22e+03 |    8.19e+04 |    3.63e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    90.28 |  3452m 36s | Model saved (best)  
    3350 |   2.80e+05 |   2.07e+03 |   4.10e+06 |   3.00e+04 |   3.04e+05 |    4.21e+03 |    8.06e+04 |    3.68e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.28 |  3447m 02s | Model saved         
    3400 |   2.79e+05 |   2.09e+03 |   4.08e+06 |   3.06e+04 |   2.99e+05 |    4.17e+03 |    8.10e+04 |    3.66e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    89.81 |  3437m 07s | Model saved         
    3450 |   2.76e+05 |   2.03e+03 |   4.06e+06 |   3.02e+04 |   2.93e+05 |    4.12e+03 |    7.90e+04 |    3.65e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.47 |  3431m 57s | Model saved         
    3500 |   2.81e+05 |   2.18e+03 |   4.12e+06 |   3.13e+04 |   2.95e+05 |    4.14e+03 |    8.41e+04 |    3.71e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    90.86 |  3422m 55s | Model saved         
    3550 |   2.77e+05 |   2.08e+03 |   4.08e+06 |   3.05e+04 |   2.87e+05 |    4.09e+03 |    8.03e+04 |    3.67e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |   100.58 |  3418m 30s | Model saved         
    3600 |   2.68e+05 |   1.95e+03 |   3.95e+06 |   2.99e+04 |   2.78e+05 |    3.98e+03 |    7.86e+04 |    3.56e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    90.48 |  3409m 39s | Model saved (best)  
    3650 |   2.68e+05 |   1.93e+03 |   3.96e+06 |   3.01e+04 |   2.74e+05 |    3.95e+03 |    7.76e+04 |    3.58e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.24 |  3404m 52s | Model saved         
    3700 |   2.70e+05 |   2.04e+03 |   4.00e+06 |   3.10e+04 |   2.73e+05 |    3.95e+03 |    8.08e+04 |    3.62e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    90.03 |  3396m 10s | Model saved         
    3750 |   2.77e+05 |   2.14e+03 |   4.10e+06 |   3.16e+04 |   2.74e+05 |    3.98e+03 |    8.24e+04 |    3.71e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.15 |  3391m 33s | Model saved         
    3800 |   2.59e+05 |   1.84e+03 |   3.85e+06 |   3.01e+04 |   2.60e+05 |    3.81e+03 |    7.55e+04 |    3.48e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    89.78 |  3383m 04s | Model saved (best)  
    3850 |   2.62e+05 |   1.88e+03 |   3.91e+06 |   3.03e+04 |   2.58e+05 |    3.81e+03 |    7.59e+04 |    3.54e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    99.44 |  3378m 47s | Model saved         
    3900 |   2.75e+05 |   2.16e+03 |   4.08e+06 |   3.24e+04 |   2.62e+05 |    3.88e+03 |    8.22e+04 |    3.70e+02 |   9.50e-03 |   4.29e-01 |     76581.70 |    89.89 |  3370m 39s | Model saved         
    3950 |   2.57e+05 |   1.83e+03 |   3.86e+06 |   3.05e+04 |   2.48e+05 |    3.72e+03 |    7.62e+04 |    3.50e+02 |   9.50e-03 |   4.29e-01 |     76583.80 |    99.34 |  3366m 31s | Model saved         
    4000 |   2.61e+05 |   1.95e+03 |   3.91e+06 |   3.11e+04 |   2.49e+05 |    3.74e+03 |    7.89e+04 |    3.55e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    90.11 |  3358m 45s | Model saved         
    4050 |   2.74e+05 |   2.15e+03 |   4.09e+06 |   3.32e+04 |   2.53e+05 |    3.81e+03 |    8.28e+04 |    3.71e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |   100.66 |  3355m 18s | Model saved         
    4100 |   2.49e+05 |   1.73e+03 |   3.74e+06 |   3.05e+04 |   2.36e+05 |    3.59e+03 |    7.36e+04 |    3.40e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.78 |  3347m 39s | Model saved (best)  
    4150 |   2.51e+05 |   1.75e+03 |   3.79e+06 |   3.11e+04 |   2.33e+05 |    3.58e+03 |    7.40e+04 |    3.45e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    99.07 |  3343m 44s | Model saved         
    4200 |   2.50e+05 |   1.77e+03 |   3.76e+06 |   3.14e+04 |   2.30e+05 |    3.54e+03 |    7.54e+04 |    3.42e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.71 |  3336m 18s | Model saved         
    4250 |   2.50e+05 |   1.74e+03 |   3.77e+06 |   3.14e+04 |   2.26e+05 |    3.52e+03 |    7.44e+04 |    3.44e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    98.90 |  3332m 28s | Model saved         
    4300 |   2.56e+05 |   1.91e+03 |   3.86e+06 |   3.26e+04 |   2.30e+05 |    3.56e+03 |    7.91e+04 |    3.51e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.83 |  3325m 19s | Model saved         
    4350 |   2.61e+05 |   1.96e+03 |   3.93e+06 |   3.32e+04 |   2.30e+05 |    3.58e+03 |    8.05e+04 |    3.58e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    99.32 |  3321m 47s | Model saved         
    4400 |   2.52e+05 |   1.84e+03 |   3.80e+06 |   3.23e+04 |   2.24e+05 |    3.50e+03 |    7.72e+04 |    3.47e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.87 |  3314m 52s | Model saved         
    4450 |   2.44e+05 |   1.67e+03 |   3.71e+06 |   3.15e+04 |   2.15e+05 |    3.40e+03 |    7.27e+04 |    3.39e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |   101.20 |  3312m 07s | Model saved (best)  
    4500 |   2.43e+05 |   1.68e+03 |   3.68e+06 |   3.11e+04 |   2.13e+05 |    3.38e+03 |    7.38e+04 |    3.35e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.83 |  3305m 23s | Model saved (best)  
    4550 |   2.48e+05 |   1.73e+03 |   3.75e+06 |   3.24e+04 |   2.12e+05 |    3.38e+03 |    7.60e+04 |    3.43e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    99.14 |  3302m 01s | Model saved         
    4600 |   2.44e+05 |   1.71e+03 |   3.70e+06 |   3.16e+04 |   2.11e+05 |    3.35e+03 |    7.56e+04 |    3.38e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    90.02 |  3295m 32s | Model saved         
    4650 |   2.47e+05 |   1.72e+03 |   3.73e+06 |   3.27e+04 |   2.07e+05 |    3.35e+03 |    7.61e+04 |    3.41e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    98.88 |  3292m 10s | Model saved         
    4700 |   2.47e+05 |   1.78e+03 |   3.74e+06 |   3.30e+04 |   2.09e+05 |    3.34e+03 |    7.71e+04 |    3.42e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.60 |  3285m 43s | Model saved         
    4750 |   2.57e+05 |   1.93e+03 |   3.88e+06 |   3.42e+04 |   2.13e+05 |    3.39e+03 |    8.27e+04 |    3.54e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    99.00 |  3282m 31s | Model saved         
    4800 |   2.38e+05 |   1.59e+03 |   3.60e+06 |   3.15e+04 |   2.00e+05 |    3.23e+03 |    7.31e+04 |    3.29e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.69 |  3276m 16s | Model saved (best)  
    4850 |   2.39e+05 |   1.59e+03 |   3.63e+06 |   3.20e+04 |   1.97e+05 |    3.21e+03 |    7.25e+04 |    3.33e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    98.93 |  3273m 08s | Model saved         
    4900 |   2.48e+05 |   1.79e+03 |   3.74e+06 |   3.29e+04 |   2.05e+05 |    3.30e+03 |    8.01e+04 |    3.42e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    89.69 |  3267m 03s | Model saved         
    4950 |   2.40e+05 |   1.60e+03 |   3.64e+06 |   3.26e+04 |   1.96e+05 |    3.19e+03 |    7.56e+04 |    3.33e+02 |   9.50e-03 |   4.07e-01 |     76583.80 |    99.83 |  3264m 18s | Model saved         
    5000 |   2.34e+05 |   1.54e+03 |   3.55e+06 |   3.20e+04 |   1.93e+05 |    3.15e+03 |    7.31e+04 |    3.25e+02 |   9.50e-03 |   3.87e-01 |     76583.80 |    89.85 |  3258m 25s | Model saved (best)  
    5050 |   2.40e+05 |   1.62e+03 |   3.64e+06 |   3.38e+04 |   1.93e+05 |    3.17e+03 |    7.50e+04 |    3.34e+02 |   9.50e-03 |   3.87e-01 |     76583.80 |   100.74 |  3256m 01s | Model saved         
    5100 |   2.40e+05 |   1.61e+03 |   3.61e+06 |   3.42e+04 |   1.92e+05 |    3.13e+03 |    7.49e+04 |    3.30e+02 |   9.50e-03 |   3.87e-01 |     76583.80 |    89.79 |  3250m 15s | Model saved         
