Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [0.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/1_naislstm_GELU
No model checkpoint file found in saved_models/1_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/1_naislstm_GELU
Training started at 2025-07-01 23:06:26
Logging training to saved_models/1_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       1 |   2.00e+08 |   5.06e+06 |   2.83e+10 |   2.32e+06 |   4.70e+09 |    8.49e+06 |    4.43e+07 |    2.35e+06 |   1.00e-02 |   5.00e-01 |     71192.02 |     3.58 |        N/A | Model saved (best)  
      50 |   1.21e+08 |   3.68e+06 |   1.69e+10 |   9.10e+05 |   2.81e+09 |    6.29e+06 |    2.71e+07 |    1.41e+06 |   1.00e-02 |   5.00e-01 |     73620.52 |    92.62 |  3205m 07s | Model saved (best)  
     100 |   2.17e+07 |   5.65e+05 |   1.39e+09 |   1.03e+04 |   2.27e+08 |    1.02e+06 |    1.45e+06 |    1.16e+05 |   1.00e-02 |   5.00e-01 |     73620.52 |    94.56 |  3176m 16s | Model saved (best)  
     150 |   2.19e+06 |   2.16e+04 |   2.32e+07 |   3.99e+04 |   3.00e+06 |    2.51e+04 |    5.17e+05 |    1.96e+03 |   1.00e-02 |   5.00e-01 |     76569.12 |   105.34 |  3285m 10s | Model saved (best)  
     200 |   8.76e+05 |   1.46e+04 |   1.56e+07 |   4.93e+04 |   1.44e+06 |    1.57e+04 |    5.89e+05 |    1.35e+03 |   1.00e-02 |   5.00e-01 |     76569.12 |    94.65 |  3249m 50s | Model saved (best)  
     250 |   7.34e+05 |   1.22e+04 |   1.33e+07 |   4.16e+04 |   1.26e+06 |    1.37e+04 |    4.62e+05 |    1.15e+03 |   1.00e-02 |   5.00e-01 |     76569.12 |   119.83 |  3395m 25s | Model saved (best)  
     300 |   6.17e+05 |   9.83e+03 |   1.12e+07 |   3.24e+04 |   1.09e+06 |    1.21e+04 |    3.66e+05 |    9.68e+02 |   1.00e-02 |   5.00e-01 |     76569.12 |   154.10 |  3681m 39s | Model saved (best)  
     350 |   5.67e+05 |   8.67e+03 |   1.02e+07 |   3.00e+04 |   1.01e+06 |    1.14e+04 |    2.92e+05 |    8.82e+02 |   1.00e-02 |   5.00e-01 |     76569.12 |   106.86 |  3661m 13s | Model saved (best)  
     400 |   5.49e+05 |   7.99e+03 |   9.54e+06 |   2.91e+04 |   9.51e+05 |    1.08e+04 |    2.69e+05 |    8.28e+02 |   1.00e-02 |   5.00e-01 |     76569.12 |   177.30 |  3937m 44s | Model saved (best)  
     450 |   5.27e+05 |   7.51e+03 |   9.14e+06 |   2.81e+04 |   9.18e+05 |    1.05e+04 |    2.52e+05 |    7.94e+02 |   1.00e-02 |   5.00e-01 |     76579.60 |   199.47 |  4233m 54s | Model saved (best)  
     500 |   5.11e+05 |   7.06e+03 |   8.70e+06 |   2.79e+04 |   8.72e+05 |    1.00e+04 |    2.34e+05 |    7.55e+02 |   1.00e-02 |   5.00e-01 |     76579.60 |   104.98 |  4156m 46s | Model saved (best)  
     550 |   5.38e+05 |   7.17e+03 |   8.80e+06 |   2.99e+04 |   8.64e+05 |    9.90e+03 |    2.30e+05 |    7.66e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   134.17 |  4181m 19s | Model saved         
     600 |   4.89e+05 |   6.37e+03 |   8.03e+06 |   2.82e+04 |   8.07e+05 |    9.30e+03 |    2.09e+05 |    6.98e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   116.83 |  4153m 32s | Model saved (best)  
     650 |   4.54e+05 |   5.59e+03 |   7.39e+06 |   2.46e+04 |   7.58e+05 |    8.78e+03 |    1.93e+05 |    6.40e+02 |   1.00e-02 |   5.00e-01 |     76581.70 |   109.67 |  4111m 29s | Model saved (best)  
