Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [100.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/4_naislstm_GELU
No model checkpoint file found in saved_models/4_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/4_naislstm_GELU
Training started at 2025-07-03 02:57:30
Logging training to saved_models/4_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
    4300 |   4.81e+05 |   2.10e+03 |  -6.41e+07 |   2.82e+04 |   2.81e+05 |    4.60e+03 |    8.26e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    79.63 |  2779m 06s | Model saved (best)  
    4350 |   4.88e+05 |   2.02e+03 |  -6.39e+07 |   2.74e+04 |   2.84e+05 |    4.63e+03 |    8.20e+04 |   -6.43e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    87.05 |  2777m 38s | Model saved         
    4400 |   4.81e+05 |   2.09e+03 |  -6.41e+07 |   2.83e+04 |   2.79e+05 |    4.57e+03 |    8.69e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.27 |  2773m 42s | Model saved (best)  
    4450 |   4.84e+05 |   1.97e+03 |  -6.39e+07 |   2.79e+04 |   2.78e+05 |    4.56e+03 |    8.32e+04 |   -6.43e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    88.78 |  2772m 52s | Model saved         
    4500 |   4.77e+05 |   2.01e+03 |  -6.41e+07 |   2.86e+04 |   2.72e+05 |    4.47e+03 |    8.35e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.18 |  2768m 59s | Model saved (best)  
    4550 |   4.82e+05 |   1.91e+03 |  -6.40e+07 |   2.72e+04 |   2.73e+05 |    4.49e+03 |    8.31e+04 |   -6.44e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    87.33 |  2767m 39s | Model saved         
    4600 |   4.78e+05 |   2.01e+03 |  -6.42e+07 |   2.77e+04 |   2.71e+05 |    4.42e+03 |    8.16e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.51 |  2763m 58s | Model saved (best)  
    4650 |   4.79e+05 |   1.90e+03 |  -6.40e+07 |   2.79e+04 |   2.69e+05 |    4.43e+03 |    8.12e+04 |   -6.44e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    87.56 |  2762m 44s | Model saved         
    4700 |   4.70e+05 |   1.88e+03 |  -6.43e+07 |   2.82e+04 |   2.61e+05 |    4.32e+03 |    8.16e+04 |   -6.46e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.11 |  2758m 59s | Model saved (best)  
    4750 |   4.76e+05 |   1.81e+03 |  -6.41e+07 |   2.82e+04 |   2.63e+05 |    4.34e+03 |    8.09e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    86.46 |  2757m 24s | Model saved         
    4800 |   4.67e+05 |   1.83e+03 |  -6.43e+07 |   2.78e+04 |   2.56e+05 |    4.26e+03 |    7.98e+04 |   -6.47e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.25 |  2753m 47s | Model saved (best)  
    4850 |   4.71e+05 |   1.74e+03 |  -6.41e+07 |   2.79e+04 |   2.58e+05 |    4.28e+03 |    8.05e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    87.58 |  2752m 36s | Model saved         
    4900 |   4.69e+05 |   1.83e+03 |  -6.43e+07 |   2.84e+04 |   2.55e+05 |    4.23e+03 |    8.07e+04 |   -6.47e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.13 |  2749m 00s | Model saved (best)  
    4950 |   4.71e+05 |   1.75e+03 |  -6.41e+07 |   2.80e+04 |   2.56e+05 |    4.24e+03 |    8.13e+04 |   -6.45e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    86.76 |  2747m 34s | Model saved         
    5000 |   4.62e+05 |   1.72e+03 |  -6.44e+07 |   2.76e+04 |   2.47e+05 |    4.14e+03 |    7.95e+04 |   -6.48e+03 |   8.15e-03 |   3.87e-01 |     18268.29 |    79.85 |  2743m 56s | Model saved (best)  
    5050 |   4.67e+05 |   1.71e+03 |  -6.42e+07 |   2.88e+04 |   2.50e+05 |    4.18e+03 |    8.08e+04 |   -6.46e+03 |   8.15e-03 |   3.87e-01 |     18268.29 |    90.12 |  2743m 35s | Model saved         
    5100 |   4.60e+05 |   1.71e+03 |  -6.44e+07 |   2.90e+04 |   2.44e+05 |    4.10e+03 |    8.00e+04 |   -6.48e+03 |   8.15e-03 |   3.87e-01 |     18268.29 |    80.17 |  2740m 07s | Model saved (best)  
    5150 |   4.63e+05 |   1.63e+03 |  -6.42e+07 |   2.82e+04 |   2.46e+05 |    4.12e+03 |    7.97e+04 |   -6.46e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.34 |  2738m 54s | Model saved         
    5200 |   4.57e+05 |   1.65e+03 |  -6.45e+07 |   2.75e+04 |   2.40e+05 |    4.04e+03 |    7.90e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.15 |  2735m 29s | Model saved (best)  
    5250 |   4.61e+05 |   1.58e+03 |  -6.43e+07 |   2.88e+04 |   2.42e+05 |    4.06e+03 |    7.96e+04 |   -6.46e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.29 |  2734m 16s | Model saved         
    5300 |   4.55e+05 |   1.62e+03 |  -6.45e+07 |   2.93e+04 |   2.37e+05 |    4.00e+03 |    7.90e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.10 |  2730m 53s | Model saved (best)  
    5350 |   4.57e+05 |   1.52e+03 |  -6.43e+07 |   2.80e+04 |   2.37e+05 |    4.01e+03 |    7.90e+04 |   -6.47e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.56 |  2729m 45s | Model saved         
    5400 |   4.60e+05 |   1.69e+03 |  -6.45e+07 |   2.87e+04 |   2.39e+05 |    3.99e+03 |    8.03e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.50 |  2726m 33s | Model saved         
    5450 |   4.56e+05 |   1.52e+03 |  -6.44e+07 |   2.79e+04 |   2.36e+05 |    3.96e+03 |    8.14e+04 |   -6.47e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.58 |  2725m 26s | Model saved         
    5500 |   4.51e+05 |   1.55e+03 |  -6.46e+07 |   2.89e+04 |   2.30e+05 |    3.90e+03 |    7.87e+04 |   -6.49e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.42 |  2722m 16s | Model saved (best)  
    5550 |   4.53e+05 |   1.46e+03 |  -6.44e+07 |   2.83e+04 |   2.30e+05 |    3.90e+03 |    7.96e+04 |   -6.47e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.91 |  2721m 15s | Model saved         
    5600 |   4.53e+05 |   1.57e+03 |  -6.46e+07 |   2.84e+04 |   2.29e+05 |    3.88e+03 |    7.98e+04 |   -6.49e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.52 |  2718m 09s | Model saved         
    5650 |   4.51e+05 |   1.45e+03 |  -6.44e+07 |   2.80e+04 |   2.29e+05 |    3.87e+03 |    8.05e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.76 |  2717m 05s | Model saved         
    5700 |   4.51e+05 |   1.54e+03 |  -6.46e+07 |   2.88e+04 |   2.27e+05 |    3.85e+03 |    7.94e+04 |   -6.49e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.56 |  2714m 02s | Model saved (best)  
    5750 |   4.50e+05 |   1.42e+03 |  -6.44e+07 |   2.88e+04 |   2.26e+05 |    3.83e+03 |    8.01e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.87 |  2713m 01s | Model saved         
    5800 |   4.47e+05 |   1.49e+03 |  -6.46e+07 |   2.92e+04 |   2.22e+05 |    3.79e+03 |    7.86e+04 |   -6.50e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    80.79 |  2710m 04s | Model saved (best)  
    5850 |   4.48e+05 |   1.38e+03 |  -6.45e+07 |   2.86e+04 |   2.22e+05 |    3.78e+03 |    7.96e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    87.74 |  2709m 01s | Model saved         
    5900 |   4.43e+05 |   1.43e+03 |  -6.47e+07 |   2.88e+04 |   2.18e+05 |    3.74e+03 |    7.88e+04 |   -6.50e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    81.03 |  2706m 10s | Model saved (best)  
    5950 |   4.45e+05 |   1.35e+03 |  -6.45e+07 |   2.85e+04 |   2.18e+05 |    3.75e+03 |    7.88e+04 |   -6.48e+03 |   7.74e-03 |   3.87e-01 |     18268.29 |    88.25 |  2705m 15s | Model saved         
    6000 |   4.44e+05 |   1.44e+03 |  -6.47e+07 |   2.88e+04 |   2.17e+05 |    3.73e+03 |    7.84e+04 |   -6.50e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    81.09 |  2702m 27s | Model saved         
    6050 |   4.46e+05 |   1.37e+03 |  -6.45e+07 |   2.99e+04 |   2.18e+05 |    3.72e+03 |    8.00e+04 |   -6.48e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    90.55 |  2702m 08s | Model saved         
    6100 |   4.46e+05 |   1.48e+03 |  -6.46e+07 |   2.96e+04 |   2.18e+05 |    3.72e+03 |    7.98e+04 |   -6.50e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    81.43 |  2699m 27s | Model saved         
    6150 |   4.42e+05 |   1.33e+03 |  -6.45e+07 |   3.03e+04 |   2.15e+05 |    3.68e+03 |    8.01e+04 |   -6.49e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    88.59 |  2698m 37s | Model saved         
    6200 |   4.39e+05 |   1.37e+03 |  -6.47e+07 |   2.93e+04 |   2.11e+05 |    3.64e+03 |    7.77e+04 |   -6.50e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    80.85 |  2695m 48s | Model saved (best)  
    6250 |   4.41e+05 |   1.29e+03 |  -6.46e+07 |   2.99e+04 |   2.11e+05 |    3.65e+03 |    7.88e+04 |   -6.49e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    87.00 |  2694m 34s | Model saved         
    6300 |   4.39e+05 |   1.35e+03 |  -6.47e+07 |   2.87e+04 |   2.10e+05 |    3.62e+03 |    7.87e+04 |   -6.51e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    80.13 |  2691m 37s | Model saved (best)  
    6350 |   4.39e+05 |   1.28e+03 |  -6.46e+07 |   2.92e+04 |   2.09e+05 |    3.62e+03 |    7.96e+04 |   -6.49e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    87.55 |  2690m 31s | Model saved         
    6400 |   4.38e+05 |   1.34e+03 |  -6.48e+07 |   2.94e+04 |   2.07e+05 |    3.60e+03 |    7.87e+04 |   -6.51e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    79.93 |  2687m 33s | Model saved (best)  
    6450 |   4.38e+05 |   1.26e+03 |  -6.46e+07 |   3.05e+04 |   2.07e+05 |    3.59e+03 |    7.94e+04 |   -6.49e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    87.71 |  2686m 30s | Model saved         
    6500 |   4.37e+05 |   1.31e+03 |  -6.48e+07 |   2.95e+04 |   2.05e+05 |    3.56e+03 |    7.74e+04 |   -6.51e+03 |   7.74e-03 |   3.68e-01 |     18268.29 |    80.13 |  2683m 37s | Model saved (best)  
    6550 |   4.35e+05 |   1.21e+03 |  -6.46e+07 |   2.92e+04 |   2.03e+05 |    3.54e+03 |    7.78e+04 |   -6.50e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    87.59 |  2682m 32s | Model saved         
    6600 |   4.34e+05 |   1.27e+03 |  -6.48e+07 |   2.93e+04 |   2.02e+05 |    3.53e+03 |    7.63e+04 |   -6.51e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    80.41 |  2679m 45s | Model saved (best)  
    6650 |   4.33e+05 |   1.18e+03 |  -6.47e+07 |   2.87e+04 |   2.01e+05 |    3.51e+03 |    7.68e+04 |   -6.50e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    87.53 |  2678m 40s | Model saved         
    6700 |   4.32e+05 |   1.25e+03 |  -6.48e+07 |   2.90e+04 |   2.01e+05 |    3.50e+03 |    7.64e+04 |   -6.51e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    80.42 |  2675m 55s | Model saved (best)  
    6750 |   4.32e+05 |   1.17e+03 |  -6.47e+07 |   2.89e+04 |   1.99e+05 |    3.49e+03 |    7.65e+04 |   -6.50e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    87.58 |  2674m 50s | Model saved         
    6800 |   4.27e+05 |   1.19e+03 |  -6.49e+07 |   2.90e+04 |   1.96e+05 |    3.45e+03 |    7.58e+04 |   -6.52e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    80.45 |  2672m 07s | Model saved (best)  
    6850 |   4.30e+05 |   1.12e+03 |  -6.47e+07 |   2.90e+04 |   1.96e+05 |    3.46e+03 |    7.68e+04 |   -6.50e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    87.52 |  2671m 02s | Model saved         
    6900 |   4.29e+05 |   1.21e+03 |  -6.49e+07 |   2.93e+04 |   1.97e+05 |    3.45e+03 |    7.57e+04 |   -6.52e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    80.42 |  2668m 20s | Model saved         
    6950 |   4.30e+05 |   1.15e+03 |  -6.47e+07 |   2.93e+04 |   1.96e+05 |    3.45e+03 |    7.57e+04 |   -6.50e+03 |   7.35e-03 |   3.68e-01 |     18268.29 |    87.35 |  2667m 12s | Model saved         
    7000 |   4.29e+05 |   1.20e+03 |  -6.49e+07 |   2.91e+04 |   1.95e+05 |    3.43e+03 |    7.52e+04 |   -6.52e+03 |   7.35e-03 |   3.49e-01 |     18268.29 |    80.60 |  2664m 35s | Model saved         
    7050 |   4.28e+05 |   1.12e+03 |  -6.47e+07 |   3.14e+04 |   1.93e+05 |    3.40e+03 |    7.60e+04 |   -6.50e+03 |   6.98e-03 |   3.49e-01 |     18268.29 |    89.78 |  2663m 59s | Model saved         
    7100 |   4.23e+05 |   1.13e+03 |  -6.49e+07 |   2.99e+04 |   1.91e+05 |    3.38e+03 |    7.44e+04 |   -6.52e+03 |   6.98e-03 |   3.49e-01 |     18268.29 |    80.72 |  2661m 24s | Model saved (best)  
    7150 |   4.26e+05 |   1.09e+03 |  -6.47e+07 |   3.02e+04 |   1.91e+05 |    3.39e+03 |    7.53e+04 |   -6.50e+03 |   6.98e-03 |   3.49e-01 |     18268.29 |    87.70 |  2660m 21s | Model saved         
    7200 |   4.22e+05 |   1.11e+03 |  -6.49e+07 |   3.02e+04 |   1.89e+05 |    3.35e+03 |    7.49e+04 |   -6.52e+03 |   6.98e-03 |   3.49e-01 |     18268.29 |    80.75 |  2657m 48s | Model saved (best)  
    7250 |   4.25e+05 |   1.07e+03 |  -6.48e+07 |   2.93e+04 |   1.89e+05 |    3.36e+03 |    7.48e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    87.20 |  2656m 39s | Model saved         
    7300 |   4.21e+05 |   1.10e+03 |  -6.50e+07 |   2.98e+04 |   1.88e+05 |    3.33e+03 |    7.39e+04 |   -6.52e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    81.12 |  2654m 12s | Model saved (best)  
    7350 |   4.22e+05 |   1.02e+03 |  -6.48e+07 |   2.99e+04 |   1.86e+05 |    3.32e+03 |    7.44e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    87.69 |  2653m 08s | Model saved         
    7400 |   4.18e+05 |   1.05e+03 |  -6.50e+07 |   2.92e+04 |   1.85e+05 |    3.30e+03 |    7.37e+04 |   -6.53e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    80.48 |  2650m 34s | Model saved (best)  
    7450 |   4.22e+05 |   1.04e+03 |  -6.48e+07 |   3.02e+04 |   1.85e+05 |    3.31e+03 |    7.51e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    88.12 |  2649m 36s | Model saved         
    7500 |   4.18e+05 |   1.05e+03 |  -6.50e+07 |   3.03e+04 |   1.84e+05 |    3.28e+03 |    7.36e+04 |   -6.53e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    80.51 |  2647m 04s | Model saved (best)  
    7550 |   4.19e+05 |   9.70e+02 |  -6.48e+07 |   2.97e+04 |   1.82e+05 |    3.27e+03 |    7.35e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    87.88 |  2646m 03s | Model saved         
    7600 |   4.18e+05 |   1.07e+03 |  -6.50e+07 |   2.99e+04 |   1.83e+05 |    3.27e+03 |    7.42e+04 |   -6.53e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    80.54 |  2643m 32s | Model saved         
    7650 |   4.22e+05 |   1.03e+03 |  -6.48e+07 |   3.13e+04 |   1.84e+05 |    3.29e+03 |    7.36e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    87.73 |  2642m 30s | Model saved         
    7700 |   4.19e+05 |   1.10e+03 |  -6.50e+07 |   3.03e+04 |   1.83e+05 |    3.27e+03 |    7.32e+04 |   -6.53e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    80.53 |  2640m 00s | Model saved         
    7750 |   4.18e+05 |   9.49e+02 |  -6.49e+07 |   3.03e+04 |   1.80e+05 |    3.24e+03 |    7.33e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    88.24 |  2639m 03s | Model saved         
    7800 |   4.18e+05 |   1.05e+03 |  -6.50e+07 |   3.03e+04 |   1.81e+05 |    3.24e+03 |    7.36e+04 |   -6.53e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    80.65 |  2636m 36s | Model saved (best)  
    7850 |   4.16e+05 |   9.65e+02 |  -6.49e+07 |   3.03e+04 |   1.79e+05 |    3.23e+03 |    7.32e+04 |   -6.51e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    87.75 |  2635m 34s | Model saved         
    7900 |   4.16e+05 |   1.04e+03 |  -6.50e+07 |   3.01e+04 |   1.78e+05 |    3.21e+03 |    7.28e+04 |   -6.53e+03 |   6.63e-03 |   3.49e-01 |     18268.29 |    80.78 |  2633m 09s | Model saved (best)  
    7950 |   4.16e+05 |   9.46e+02 |  -6.49e+07 |   2.97e+04 |   1.78e+05 |    3.21e+03 |    7.25e+04 |   -6.52e+03 |   6.30e-03 |   3.49e-01 |     18268.29 |    88.09 |  2632m 10s | Model saved         
    8000 |   4.14e+05 |   9.96e+02 |  -6.50e+07 |   3.02e+04 |   1.77e+05 |    3.19e+03 |    7.15e+04 |   -6.53e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    81.24 |  2629m 52s | Model saved (best)  
    8050 |   4.13e+05 |   9.15e+02 |  -6.49e+07 |   3.04e+04 |   1.75e+05 |    3.17e+03 |    7.20e+04 |   -6.52e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    89.92 |  2629m 14s | Model saved         
    8100 |   4.12e+05 |   9.68e+02 |  -6.51e+07 |   3.07e+04 |   1.74e+05 |    3.15e+03 |    7.10e+04 |   -6.53e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    80.27 |  2626m 46s | Model saved (best)  
    8150 |   4.13e+05 |   8.92e+02 |  -6.49e+07 |   3.09e+04 |   1.73e+05 |    3.15e+03 |    7.18e+04 |   -6.52e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    88.10 |  2625m 47s | Model saved         
    8200 |   4.13e+05 |   1.00e+03 |  -6.50e+07 |   3.09e+04 |   1.74e+05 |    3.15e+03 |    7.22e+04 |   -6.53e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    80.83 |  2623m 26s | Model saved         
    8250 |   4.14e+05 |   9.26e+02 |  -6.49e+07 |   3.03e+04 |   1.74e+05 |    3.15e+03 |    7.21e+04 |   -6.52e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    87.80 |  2622m 23s | Model saved         
    8300 |   4.10e+05 |   9.44e+02 |  -6.51e+07 |   3.08e+04 |   1.72e+05 |    3.13e+03 |    7.08e+04 |   -6.54e+03 |   6.30e-03 |   3.32e-01 |     18268.29 |    80.76 |  2620m 02s | Model saved (best)  
    8350 |   4.12e+05 |   9.06e+02 |  -6.49e+07 |   3.02e+04 |   1.72e+05 |    3.12e+03 |    7.13e+04 |   -6.52e+03 |   5.99e-03 |   3.32e-01 |     18268.29 |    88.35 |  2619m 05s | Model saved         
    8400 |   4.08e+05 |   9.05e+02 |  -6.51e+07 |   3.01e+04 |   1.69e+05 |    3.09e+03 |    6.98e+04 |   -6.54e+03 |   5.99e-03 |   3.32e-01 |     18268.29 |    81.13 |  2616m 49s | Model saved (best)  
    8450 |   4.10e+05 |   8.55e+02 |  -6.50e+07 |   3.01e+04 |   1.68e+05 |    3.09e+03 |    7.12e+04 |   -6.52e+03 |   5.99e-03 |   3.32e-01 |     18268.29 |    87.97 |  2615m 48s | Model saved         
    8500 |   4.08e+05 |   9.34e+02 |  -6.51e+07 |   3.02e+04 |   1.69e+05 |    3.09e+03 |    7.03e+04 |   -6.54e+03 |   5.99e-03 |   3.32e-01 |     18268.29 |    80.41 |  2613m 25s | Model saved         
    8550 |   4.08e+05 |   8.49e+02 |  -6.50e+07 |   3.05e+04 |   1.67e+05 |    3.07e+03 |    7.10e+04 |   -6.52e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    87.91 |  2612m 23s | Model saved         
    8600 |   4.04e+05 |   8.63e+02 |  -6.52e+07 |   3.01e+04 |   1.66e+05 |    3.04e+03 |    6.89e+04 |   -6.54e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    81.20 |  2610m 10s | Model saved (best)  
    8650 |   4.08e+05 |   8.49e+02 |  -6.50e+07 |   2.99e+04 |   1.67e+05 |    3.06e+03 |    7.01e+04 |   -6.52e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    88.04 |  2609m 09s | Model saved         
    8700 |   4.04e+05 |   8.51e+02 |  -6.52e+07 |   3.01e+04 |   1.65e+05 |    3.03e+03 |    6.80e+04 |   -6.54e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    80.64 |  2606m 51s | Model saved (best)  
    8750 |   4.07e+05 |   8.11e+02 |  -6.50e+07 |   2.99e+04 |   1.65e+05 |    3.03e+03 |    6.94e+04 |   -6.53e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    88.04 |  2605m 50s | Model saved         
    8800 |   4.03e+05 |   8.59e+02 |  -6.52e+07 |   2.98e+04 |   1.63e+05 |    3.01e+03 |    6.85e+04 |   -6.54e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    81.58 |  2603m 42s | Model saved         
    8850 |   4.06e+05 |   8.19e+02 |  -6.50e+07 |   3.10e+04 |   1.63e+05 |    3.02e+03 |    6.95e+04 |   -6.53e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    88.31 |  2602m 44s | Model saved         
    8900 |   4.03e+05 |   8.51e+02 |  -6.52e+07 |   3.05e+04 |   1.62e+05 |    3.00e+03 |    6.79e+04 |   -6.54e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    81.16 |  2600m 32s | Model saved (best)  
    8950 |   4.07e+05 |   8.22e+02 |  -6.50e+07 |   3.03e+04 |   1.63e+05 |    3.01e+03 |    6.90e+04 |   -6.52e+03 |   5.69e-03 |   3.32e-01 |     18268.29 |    87.97 |  2599m 30s | Model saved         
    9000 |   4.01e+05 |   8.68e+02 |  -6.52e+07 |   3.07e+04 |   1.61e+05 |    2.98e+03 |    6.81e+04 |   -6.54e+03 |   5.69e-03 |   3.15e-01 |     18268.29 |    81.61 |  2597m 23s | Model saved         
    9050 |   4.04e+05 |   7.96e+02 |  -6.50e+07 |   3.07e+04 |   1.61e+05 |    2.98e+03 |    6.87e+04 |   -6.53e+03 |   5.40e-03 |   3.15e-01 |     18268.29 |    90.96 |  2596m 51s | Model saved         
    9100 |   4.02e+05 |   8.34e+02 |  -6.52e+07 |   3.12e+04 |   1.60e+05 |    2.96e+03 |    6.75e+04 |   -6.54e+03 |   5.40e-03 |   3.15e-01 |     18268.29 |    81.86 |  2594m 48s | Model saved (best)  
    9150 |   4.01e+05 |   7.66e+02 |  -6.50e+07 |   3.05e+04 |   1.59e+05 |    2.95e+03 |    6.79e+04 |   -6.53e+03 |   5.40e-03 |   3.15e-01 |     18268.29 |    88.02 |  2593m 46s | Model saved         
    9200 |   3.99e+05 |   8.05e+02 |  -6.52e+07 |   3.09e+04 |   1.58e+05 |    2.94e+03 |    6.72e+04 |   -6.55e+03 |   5.40e-03 |   3.15e-01 |     18268.29 |    80.10 |  2591m 25s | Model saved (best)  
    9250 |   4.04e+05 |   8.08e+02 |  -6.50e+07 |   3.18e+04 |   1.60e+05 |    2.96e+03 |    6.80e+04 |   -6.53e+03 |   5.40e-03 |   3.15e-01 |     18268.29 |    87.38 |  2590m 17s | Model saved         
    9300 |   4.00e+05 |   8.37e+02 |  -6.52e+07 |   3.12e+04 |   1.58e+05 |    2.94e+03 |    6.66e+04 |   -6.54e+03 |   5.40e-03 |   3.15e-01 |     18268.29 |    79.29 |  2587m 50s | Model saved         
    9350 |   4.01e+05 |   7.57e+02 |  -6.50e+07 |   3.10e+04 |   1.57e+05 |    2.93e+03 |    6.68e+04 |   -6.53e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    85.80 |  2586m 26s | Model saved         
    9400 |   3.98e+05 |   7.89e+02 |  -6.52e+07 |   3.13e+04 |   1.55e+05 |    2.90e+03 |    6.57e+04 |   -6.55e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    79.39 |  2584m 01s | Model saved (best)  
    9450 |   4.00e+05 |   7.42e+02 |  -6.51e+07 |   3.14e+04 |   1.55e+05 |    2.90e+03 |    6.64e+04 |   -6.53e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    86.49 |  2582m 44s | Model saved         
    9500 |   3.97e+05 |   7.92e+02 |  -6.52e+07 |   3.20e+04 |   1.55e+05 |    2.89e+03 |    6.61e+04 |   -6.55e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    79.30 |  2580m 19s | Model saved         
    9550 |   4.01e+05 |   7.60e+02 |  -6.50e+07 |   3.14e+04 |   1.55e+05 |    2.90e+03 |    6.67e+04 |   -6.53e+03 |   5.13e-03 |   3.15e-01 |     18268.29 |    86.04 |  2578m 58s | Model saved         
