Training started at 2025-05-29 14:25:59
Logging training to saved/almgren_NAISnet_Sine\training.log

+---------------------------+---------------------------+
| Training Configuration    |                           |
+---------------------------+---------------------------+
| Epochs                    | 5000                      |
| Learning Rate             | 0.001                     |
| Adaptive LR               | True                      |
| lambda_Y (Y loss)         | 1                         |
| lambda_T (Terminal loss)  | 1                         |
| lambda_TG (Gradient loss) | 1                         |
| Number of Paths           | 1024                      |
| Batch Size                | 1024                      |
| Architecture              | NAISnet                   |
| Depth                     | 9                         |
| Width                     | 256                       |
| Activation                | Sine                      |
| T                         | 1.0                       |
| N                         | 200                       |
| Supervised                | True                      |
+---------------------------+---------------------------+

   Epoch |   Total loss |       Y loss |      T. loss |    T.G. loss |         LR |  Memory [MB] | Time [s] |      ETA | Status              
    1800 |     3.36e-04 |     1.84e-04 |     9.04e-05 |     6.20e-05 |   5.12e-04 |        27.07 |     2.62 |   3m 34s | Model saved         
    1850 |     4.83e-04 |     3.52e-04 |     7.76e-05 |     5.36e-05 |   5.12e-04 |        27.07 |     3.01 |   3m 30s | Model saved         
    1900 |     1.86e-04 |     1.40e-04 |     1.85e-05 |     2.67e-05 |   5.12e-04 |        27.07 |     2.59 |   3m 25s | Model saved (best)  
    1950 |     5.41e-04 |     4.71e-04 |     3.57e-05 |     3.46e-05 |   5.12e-04 |        27.07 |     2.72 |   3m 21s | Model saved         
    2000 |     2.03e-04 |     1.14e-04 |     5.09e-05 |     3.81e-05 |   5.12e-04 |        27.07 |     2.97 |   3m 17s | Model saved         
    2050 |     3.24e-04 |     2.47e-04 |     4.35e-05 |     3.30e-05 |   5.12e-04 |        27.07 |     2.57 |   3m 13s | Model saved         
    2100 |     1.96e-04 |     1.32e-04 |     3.87e-05 |     2.48e-05 |   5.12e-04 |        27.07 |     2.92 |   3m 09s | Model saved         
    2150 |     1.42e-04 |     1.03e-04 |     2.03e-05 |     1.96e-05 |   5.12e-04 |        27.07 |     2.61 |   3m 05s | Model saved (best)  
    2200 |     5.35e-04 |     3.38e-04 |     1.37e-04 |     6.02e-05 |   5.12e-04 |        27.07 |     2.55 |   3m 01s | Model saved         
    2250 |     6.47e-04 |     2.88e-04 |     2.46e-04 |     1.13e-04 |   5.12e-04 |        27.07 |     2.51 |   2m 57s | Model saved         
    2300 |     1.40e-03 |     5.58e-04 |     5.94e-04 |     2.48e-04 |   5.12e-04 |        27.07 |     2.58 |   2m 53s | Model saved         
    2350 |     2.82e-03 |     1.93e-03 |     5.84e-04 |     3.07e-04 |   4.10e-04 |        27.07 |     2.78 |   2m 49s | Model saved         
    2400 |     8.94e-04 |     4.18e-04 |     2.57e-04 |     2.19e-04 |   4.10e-04 |        27.07 |     2.89 |   2m 46s | Model saved         
    2450 |     4.98e-04 |     4.22e-04 |     3.55e-05 |     4.02e-05 |   4.10e-04 |        27.07 |     2.88 |   2m 42s | Model saved         
    2500 |     7.49e-04 |     6.95e-04 |     2.37e-05 |     3.06e-05 |   4.10e-04 |        27.07 |     2.62 |   2m 38s | Model saved         
    2550 |     1.70e-04 |     1.43e-04 |     1.17e-05 |     1.55e-05 |   3.28e-04 |        27.07 |     2.49 |   2m 35s | Model saved         
    2600 |     1.64e-04 |     1.37e-04 |     1.01e-05 |     1.68e-05 |   3.28e-04 |        27.07 |     2.48 |   2m 31s | Model saved         
    2650 |     1.32e-04 |     1.04e-04 |     1.09e-05 |     1.70e-05 |   3.28e-04 |        27.07 |     2.49 |   2m 27s | Model saved (best)  
    2700 |     1.18e-04 |     9.11e-05 |     1.10e-05 |     1.55e-05 |   3.28e-04 |        27.07 |     2.66 |   2m 24s | Model saved (best)  
    2750 |     2.32e-04 |     1.91e-04 |     1.78e-05 |     2.28e-05 |   3.28e-04 |        27.07 |     2.57 |   2m 20s | Model saved         
    2800 |     1.08e-04 |     8.11e-05 |     1.18e-05 |     1.52e-05 |   3.28e-04 |        27.07 |     2.60 |   2m 16s | Model saved (best)  
    2850 |     1.22e-04 |     8.64e-05 |     1.79e-05 |     1.76e-05 |   3.28e-04 |        27.07 |     2.46 |   2m 13s | Model saved         
    2900 |     4.20e-04 |     3.47e-04 |     3.56e-05 |     3.71e-05 |   3.28e-04 |        27.07 |     2.60 |   2m 09s | Model saved         
    2950 |     1.60e-04 |     1.12e-04 |     2.38e-05 |     2.38e-05 |   3.28e-04 |        27.07 |     2.39 |   2m 06s | Model saved         
